Acronyme PEPR,projet,Type_Data,Libellé structure,Sigle structure,Code RNSR,Code Unité,Tutelles,Domaine scientifique,Discipline ERC,Adresse,Latitude,Longitude
FairCarboN,ALAMOD,Labo,Environnement Méditerranéen et Modélisation des Agro-Hydrosystèmes,EMMAH,199917981D,UMR 1114,Université d'Avignon / INRAE,10-Sciences agronomiques et écologiques / 2-Physique,"
    PE10 : Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management
    LS8 : Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling
    LS9 : Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",Site Agroparc 228 route de l'Aérodrome CS40509 84914 AVIGNON,43.91525697745867,4.878454874866714
FairCarboN,SLAM-B,Labo,Environnement Méditerranéen et Modélisation des Agro-Hydrosystèmes,EMMAH,199917981D,UMR 1114,Université d'Avignon / INRAE,10-Sciences agronomiques et écologiques / 2-Physique,"
    PE10 : Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management
    LS8 : Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling
    LS9 : Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",Site Agroparc 228 route de l'Aérodrome CS40509 84914 AVIGNON,43.91525697745867,4.878454874866714
FairCarboN,TROPECOS,Labo,Environnements et paléoenvironnements océaniques et continentaux,EPOC,199512085M,UMR 5805,CNRS / INP BORDEAUX / Université de Bordeaux / EPHE,"5-Biologie, médecine et santé / 2-Physique / 4-Chimie",,Allée Geoffroy Saint Hilaire-33615-PESSAC CEDEX,44.80705,-0.596097
FairCarboN,CABESTAN,Labo,Environnements et paléoenvironnements océaniques et continentaux,EPOC,199512085M,UMR 5805,CNRS / INP BORDEAUX / Université de Bordeaux / EPHE,"5-Biologie, médecine et santé / 2-Physique / 4-Chimie",,Allée Geoffroy Saint Hilaire-33615-PESSAC CEDEX,44.80705,-0.596097
FairCarboN,CarboNium,Labo,Environnements et paléoenvironnements océaniques et continentaux,EPOC,199512085M,UMR 5805,CNRS / INP BORDEAUX / Université de Bordeaux / EPHE,"5-Biologie, médecine et santé / 2-Physique / 4-Chimie",,Allée Geoffroy Saint Hilaire-33615-PESSAC CEDEX,44.80705,-0.596097
FairCarboN,CANETE,Labo,"Écologie, systématique et évolution",ESE,200212739T,UMR 8079,AgroParisTech / Université Paris-Saclay / CNRS,10-Sciences agronomiques et écologiques / 8-Sciences pour l'ingénieur,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards","Université Paris-Saclay, Bâtiment IDEEV - 680, 12 Route RD128-91190-Gif-Sur-Yvette",48.71051406860352,2.1532793045043945
FairCarboN,Drought for C,Labo,"Écologie, systématique et évolution",ESE,200212739T,UMR 8079,AgroParisTech / Université Paris-Saclay / CNRS,10-Sciences agronomiques et écologiques / 8-Sciences pour l'ingénieur,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards","Université Paris-Saclay, Bâtiment IDEEV - 680, 12 Route RD128-91190-Gif-Sur-Yvette",48.71051406860352,2.1532793045043945
FairCarboN,ALAMOD,Labo,Fractionnement des Agro-Ressources et  Environnement,FARE,199417885W,UMR 0614,INRAE / Université de Reims,8-Sciences pour l'ingénieur / 10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",2 esplanade Roland Garros BP 224-51686-Reims,49.2384995,4.0625913
FairCarboN,CANETE,Labo,Fractionnement des Agro-Ressources et  Environnement,FARE,199417885W,UMR 0614,INRAE / Université de Reims,8-Sciences pour l'ingénieur / 10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",2 esplanade Roland Garros BP 224-51686-Reims,49.2384995,4.0625913
FairCarboN,SLAM-B,Labo,Fractionnement des Agro-Ressources et  Environnement,FARE,199417885W,UMR 0614,INRAE / Université de Reims,8-Sciences pour l'ingénieur / 10-Sciences agronomiques et écologiques,"LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards",2 esplanade Roland Garros BP 224-51686-Reims,49.2384995,4.0625913
FairCarboN,PREFALIM,Labo,Laboratoire d’Economie Appliquée de Grenoble ,GAEL,200317671Z,UMR 5313,INRAE / CNRS / INP GRENOBLE / Université Grenoble Alpes,7-Sciences de la société / 10-Sciences agronomiques et écologiques,"SH1 : Individuals, Markets and Organisations : Economics, finance, management","1241 Rue des Résidences
38400 Saint-Martin-d'Hères",45.1893466,5.7727976
FairCarboN,DEEP-C,Labo,Géographie de l'environnement ,GEODE,199512032E,UMR 5602,CNRS / Université de Toulouse,6-Sciences humaines et humanités,,"5, allées Antonio Machado
Toulouse cedex 9",43.57804107666016,1.4052337408065796
FairCarboN,PEACE,Labo,Géosciences Paris-Saclay,GEOPS,200412804E,UMR 8148,CNRS / Université Paris-Saclay,"3-Sciences de la terre et de l'univers, espace",,Université Paris-Saclay - Faculté des Sciences - Bâtiment 504 91405 ORSAY CEDEX,48.7098718,2.1666978
FairCarboN,CarboNium,Labo,Centre de géoscience - Fontainebleau,Geosciences Fontainebleau,,Institut Carnot,Mines Paris / PSL / CNRS,"3-Sciences de la terre et de l'univers, espace",,35 rue Saint-Honoré 77305 Fontainebleau,48.84601593017578,2.355226516723633
FairCarboN,CarboNium,Labo,Géosciences Rennes,Geosciences Rennes,200012191F,UMR 6118,CNRS / Université de Rennes,"3-Sciences de la terre et de l'univers, espace","PE10 : Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management ","Université de Rennes 2 - Campus de Villejean, Square Yves Le Moine, 35043 Rennes, France",48.1193848,-1.701487
FairCarboN,PEACE,Labo,Géosciences Rennes,Geosciences Rennes,200012191F,UMR 6118,CNRS / Université de Rennes,"3-Sciences de la terre et de l'univers, espace","PE10 : Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management ","Université de Rennes 2 - Campus de Villejean, Square Yves Le Moine, 35043 Rennes, France",48.1193848,-1.701487
FairCarboN,RIFT,Labo,Géosciences Environnement Toulouse,GET,201119478D,UMR 5563,Université de Toulouse / CNRS / IRD / CNES / BRGM,"3-Sciences de la terre et de l'univers, espace",,14 avenue Edouard Belin 31400 TOULOUSE,43.5631211,1.4797439
FairCarboN,PEACE,Labo,Géosciences Environnement Toulouse,GET,201119478D,UMR 5563,Université de Toulouse / CNRS / IRD / CNES / BRGM,"3-Sciences de la terre et de l'univers, espace",,14 avenue Edouard Belin 31400 TOULOUSE,43.5631211,1.4797439
FairCarboN,CarboNium,Labo,Géosciences Environnement Toulouse,GET,201119478D,UMR 5563,Université de Toulouse / CNRS / IRD / CNES / BRGM,"3-Sciences de la terre et de l'univers, espace",,14 avenue Edouard Belin 31400 TOULOUSE,43.5631211,1.4797439
FairCarboN,RIFT,Labo,Hydrosciences Montpellier,HSM,199512007C,UMR 5151,Université de Montpellier / CNRS / IRD,"5-Biologie, médecine et santé / 3-Sciences de la terre et de l'univers, espace","LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,
PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",Université de Montpellier Faculté de Pharmacie Bâtiment Hydropolis et Batiment C 15 Avenue Charles Flahault 34090 MONTPELLIER,43.6221233,3.8618712
FairCarboN,CANETE,Labo,Interactions Arbres/Micro-organismes,IAM,200117307M,UMR 1136,INRAE / Université de Lorraine,"10-Sciences agronomiques et écologiques / 5-Biologie, médecine et santé","LS2-Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,
LS3-Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",INRAE - Centre de Nancy - Route de l'Arboretum-54280-Champenoux,48.74431991577149,6.350589752197266
FairCarboN,SLAM-B,Labo,Ingénierie des Agropolymères et Technologies Emergentes,IATE,200317667V,UMR 1208,INRAE / Institut Agro / Université de Montpellier,10-Sciences agronomiques et écologiques,"PE8-Products and Processes Engineering : Product and process design, chemical, civil, environmental, mechanical, vehicle engineering, energy processes and relevant computational methods,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards","Campus de la Gaillarde 2, place Pierre Viala 34 060 Montpellier",43.6172873,3.8548934
FairCarboN,ALAMOD,Labo,Institut d'écologie et des sciences de l'environnement de Paris,iEES,200517555P,UMR 7618,CNRS / INRAE / UPEC / IRD / Sorbonne Université,"3-Sciences de la terre et de l'univers, espace / 4-Chimie / 10-Sciences agronomiques et écologiques","LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773
FairCarboN,SLAM-B,Labo,Institut d'écologie et des sciences de l'environnement de Paris,iEES,200517555P,UMR 7618,CNRS / INRAE / UPEC / IRD / Sorbonne Université,"3-Sciences de la terre et de l'univers, espace / 4-Chimie / 10-Sciences agronomiques et écologiques","LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773
FairCarboN,CANETE,Labo,Institut d'écologie et des sciences de l'environnement de Paris,iEES,200517555P,UMR 7618,CNRS / INRAE / UPEC / IRD / Sorbonne Université,"3-Sciences de la terre et de l'univers, espace / 4-Chimie / 10-Sciences agronomiques et écologiques","LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773
FairCarboN,PEACE,Labo,Institut d'écologie et des sciences de l'environnement de Paris,iEES,200517555P,UMR 7618,CNRS / INRAE / UPEC / IRD / Sorbonne Université,"3-Sciences de la terre et de l'univers, espace / 4-Chimie / 10-Sciences agronomiques et écologiques","LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773
FairCarboN,TROPECOS,Labo,Institut d'écologie et des sciences de l'environnement de Paris,iEES,200517555P,UMR 7618,CNRS / INRAE / UPEC / IRD / Sorbonne Université,"3-Sciences de la terre et de l'univers, espace / 4-Chimie / 10-Sciences agronomiques et écologiques","LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773
FairCarboN,PREFALIM,Labo,Institut d'écologie et des sciences de l'environnement de Paris,iEES,200517555P,UMR 7618,CNRS / INRAE / UPEC / IRD / Sorbonne Université,"3-Sciences de la terre et de l'univers, espace / 4-Chimie / 10-Sciences agronomiques et écologiques","LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773
FairCarboN,CrosyeN,Labo,Institut d'écologie et des sciences de l'environnement de Paris,iEES,200517555P,UMR 7618,CNRS / INRAE / UPEC / IRD / Sorbonne Université,"3-Sciences de la terre et de l'univers, espace / 4-Chimie / 10-Sciences agronomiques et écologiques","LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773
FairCarboN,RIFT,Labo,Institut des Géosciences de l'Environnement,IGE,201722374A,UMR 5001,INP GRENOBLE / Université grenoble Alpes / INRAE / IRD / CNRS,"8-Sciences pour l'ingénieur / 3-Sciences de la terre et de l'univers, espace / 10-Sciences agronomiques et écologiques","PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,
PE9-Universe Sciences : Astro-physics/-chemistry/-biology; solar system; planetary systems; stellar, galactic and extragalactic astronomy; cosmology; space sciences; astronomical instrumentation and data",460 rue de la Piscine 38400 ST MARTIN D HERES,45.1944499,5.7620888
FairCarboN,TROPECOS,Labo,Institut des Géosciences de l'Environnement,IGE,201722374A,UMR 5001,INP GRENOBLE / Université grenoble Alpes / INRAE / IRD / CNRS,"8-Sciences pour l'ingénieur / 3-Sciences de la terre et de l'univers, espace / 10-Sciences agronomiques et écologiques","PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,
PE9-Universe Sciences : Astro-physics/-chemistry/-biology; solar system; planetary systems; stellar, galactic and extragalactic astronomy; cosmology; space sciences; astronomical instrumentation and data",460 rue de la Piscine 38400 ST MARTIN D HERES,45.1944499,5.7620888
FairCarboN,CarboNium,Labo,Institut des Géosciences de l'Environnement,IGE,201722374A,UMR 5001,INP GRENOBLE / Université grenoble Alpes / INRAE / IRD / CNRS,"8-Sciences pour l'ingénieur / 3-Sciences de la terre et de l'univers, espace / 10-Sciences agronomiques et écologiques","PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,
PE9-Universe Sciences : Astro-physics/-chemistry/-biology; solar system; planetary systems; stellar, galactic and extragalactic astronomy; cosmology; space sciences; astronomical instrumentation and data",460 rue de la Piscine 38400 ST MARTIN D HERES,45.1944499,5.7620888
FairCarboN,PEPR,Labo,Institut des Géosciences de l'Environnement,IGE,201722374A,UMR 5001,INP GRENOBLE / Université grenoble Alpes / INRAE / IRD / CNRS,"8-Sciences pour l'ingénieur / 3-Sciences de la terre et de l'univers, espace / 10-Sciences agronomiques et écologiques","PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,
PE9-Universe Sciences : Astro-physics/-chemistry/-biology; solar system; planetary systems; stellar, galactic and extragalactic astronomy; cosmology; space sciences; astronomical instrumentation and data",460 rue de la Piscine 38400 ST MARTIN D HERES,45.1944499,5.7620888
FairCarboN,GREENSCALE,Labo,Institut Jean-Pierre Bourgin de sciences végétales,IJPB,201119640E,UMR 1318,INRAE / AgroParistech,10-Sciences agronomiques et écologiques,"LS9 : Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards ","Route de Saint Cyr, INRAE, 78026, Versailles",48.8021908335094,2.08726489999934
FairCarboN,Drought for C,Labo,Institut méditerranéen de biodiversité et d'écologie marine et continentale,IMBE,201220339K,UMR 7263,CNRS / IRD / Université Aix-Marseille,"5-Biologie, médecine et santé / 10-Sciences agronomiques et écologiques","LS3-Cellular, Developmental and Regenerative Biology : Structure and function of the cell, cell-cell communication, embryogenesis, tissue differentiation, organogenesis, growth, development, evolution of development, organoids, stem cells, regeneration, therapeutic approaches,
PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,
LS2-Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","Av. Escadrille Normandie Niémen
F-13 397 Marseille",43.3310413,5.4101274
FairCarboN,CO2_CMPhi,Labo,Institut de Microbiologie de la Méditerranée,IMM,201220484T,FR3479,CNRS / Université Aix-Marseille,"5-Biologie, médecine et santé",,"31 Chemin Joseph Aguier
13402 Marseille",43.25384140014649,5.408156871795659
FairCarboN,ALAMOD,Labo,Info&Sols,Info&Sols,202324348V,UR 1508,INRAE,10-Sciences agronomiques et écologiques,,2163 avnue de la Pomme de Pin - CS 40001 - Ardon-45075-ORLEANS cedex 2,47.828205,1.91434
FairCarboN,PEPR,Labo,Centre-Siège INRAE,INRAE,,Centre-Siège INRAE,Centre-Siège INRAE,,,Antony,48.753613,2.2958034
FairCarboN,DEEP-C,Labo,Institut de physique du globe de Paris,IPGP,200512539M,UMR 7154,CNRS / Sorbonne Université,"3-Sciences de la terre et de l'univers, espace"," PE9 : Universe Sciences : Astro-physics/-chemistry/-biology; solar system; planetary systems; stellar, galactic and extragalactic astronomy; cosmology; space sciences; astronomical instrumentation and data
 PE10 : Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management","1 rue Jussieu 75238 Paris, France",48.84601593017578,2.355226516723633
FairCarboN,CarboNium,Labo,Institut de physique du globe de Paris,IPGP,200512539M,UMR 7154,CNRS / Sorbonne Université,"3-Sciences de la terre et de l'univers, espace"," PE9 : Universe Sciences : Astro-physics/-chemistry/-biology; solar system; planetary systems; stellar, galactic and extragalactic astronomy; cosmology; space sciences; astronomical instrumentation and data
 PE10 : Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management","1 rue Jussieu 75238 Paris, France",48.84601593017578,2.355226516723633
FairCarboN,SLAM-B,Labo,Institut de Recherche en Informatique de Toulouse,IRIT,199511949P,UMR 5505,INRIA / Université de Toulouse / CNRS / INP TOULOUSE,9-Sciences et technologies de l'information et de la communication,"PE6-Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems","118 Route de Narbonne, F-31062 Toulouse",43.5613881,1.4688266
FairCarboN,TROPECOS,Labo,Institut de Sciences exactes et appliquées,ISEA,201722485W,EA 7484,Université de Nouvelle Calédonie,"4-Chimie / 5-Biologie, médecine et santé / 2-Physique                                                                                   ","PE4-Physical and analytical chemical sciences : analytical chemistry, chemical theory, physical chemistry/chemical physics","JAMES COOK, Avenue James Cook, 98800 Nouméa, France",-22.2626305,166.4088431
FairCarboN,DEEP-C,Labo,Institut des Sciences de l'Evolution de Montpellier,ISEM,199511995P,UMR 5554,Université de Montpellier /CNRS / IRD / EPHE / CIRAD / INRAP,"10-Sciences agronomiques et écologiques / 3-Sciences de la terre et de l'univers, espace / 5-Biologie, médecine et santé /7-Sciences de la société / 9-Sciences et technologies de l'information et de la communication","
    SH6 : The Study of the Human Past : Archaeology and history
    PE10 : Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management
    LS8 : Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling
    PE6 : Computer science and informatics : informatics and information systems, computer science, scientific computing, intelligent systems
    LS2 : Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine","Université de Montpellier Campus Triolet 1 Place Eugène Bataillon 34090 Montpellier, France",43.63222885131836,3.8642640113830566
FairCarboN,CABESTAN,Labo,Institut Des Substances et Organismes de la Mer,ISOMer,199613759C,UR 2160,Université de Nantes,"5-Biologie, médecine et santé / 3-Sciences de la terre et de l'univers, espace / 4-Chimie / 10-Sciences agronomiques et écologiques                                                 ","LS7-Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,
PE9-Universe Sciences : Astro-physics/-chemistry/-biology; solar system; planetary systems; stellar, galactic and extragalactic astronomy; cosmology; space sciences; astronomical instrumentation and data,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,
LS1-Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,
LS6-Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies,
LS2-Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine","2, rue de la Houssinière BP 81227 44322 NANTES",47.2110925,-1.5553912
FairCarboN,CarboNium,Labo,Institut Des Substances et Organismes de la Mer,ISOMer,199613759C,UR 2160,Université de Nantes,"5-Biologie, médecine et santé / 3-Sciences de la terre et de l'univers, espace / 4-Chimie / 10-Sciences agronomiques et écologiques                                                 ","LS7-Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,
PE9-Universe Sciences : Astro-physics/-chemistry/-biology; solar system; planetary systems; stellar, galactic and extragalactic astronomy; cosmology; space sciences; astronomical instrumentation and data,
LS9-Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,
LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,
LS1-Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,
LS6-Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies,
LS2-Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine","2, rue de la Houssinière BP 81227 44322 NANTES",47.2110925,-1.5553912
FairCarboN,CANETE,Labo,Interaction Sol Plante Atmosphère,ISPA,201421781U,UMR 1391,INRAE / Bordeaux Sciences Agro,10-Sciences agronomiques et écologiques,"LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","1 cours du Gal De Gaulle - CS 40201
33175 Gradignan",44.77327,-0.5442
FairCarboN,Drought for C,Labo,Interaction Sol Plante Atmosphère,ISPA,201421781U,UMR 1391,INRAE / Bordeaux Sciences Agro,10-Sciences agronomiques et écologiques,"LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","1 cours du Gal De Gaulle - CS 40201
33175 Gradignan",44.77327,-0.5442
FairCarboN,ALAMOD,Labo,Interaction Sol Plante Atmosphère,ISPA,201421781U,UMR 1391,INRAE / Bordeaux Sciences Agro,10-Sciences agronomiques et écologiques,"LS8-Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling","1 cours du Gal De Gaulle - CS 40201
33175 Gradignan",44.77327,-0.5442
FairCarboN,CANETE,Labo,Institut des sciences de la Terre Paris,iSTeP,200918450V,UMR 7193,CNRS / Sorbonne Université,"3-Sciences de la terre et de l'univers, espace","PE10-Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management",4 Place Jussieu 75252 PARIS CEDEX 05,48.84586715698242,2.354955673217773
